model,seed,test_err,train_err,n_learn,seconds,run_id,notebook,python,torch,device
LeNet-5,0,2.01,0.3,60000,14.588432917999995,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,1,1.74,0.30833333333333335,60000,14.803967487000023,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,2,2.01,0.30833333333333335,60000,14.318341262000047,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
