model,seed,test_err,train_err,n_learn,seconds,run_id,notebook,python,torch,device
LeNet-5,0,2.01,0.3,60000,14.588432917999995,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,1,1.74,0.30833333333333335,60000,14.803967487000023,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,2,2.01,0.30833333333333335,60000,14.318341262000047,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
공유 끔,0,2.56,0.325,332232,19.290662338999994,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
공유 끔,1,2.65,0.35,332232,19.106822471000044,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
공유 끔,2,2.76,0.425,332232,18.52016585299998,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
