model,seed,test_err,train_err,n_learn,seconds,run_id,notebook,python,torch,device
LeNet-5,0,2.01,0.3,60000,14.588432917999995,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,1,1.74,0.30833333333333335,60000,14.803967487000023,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,2,2.01,0.30833333333333335,60000,14.318341262000047,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
C3 전부 연결,0,1.97,0.2833333333333333,60900,14.786485717999994,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
C3 전부 연결,1,2.03,0.26666666666666666,60900,14.345425867000017,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
C3 전부 연결,2,1.98,0.2916666666666667,60900,16.967825871000002,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
