alpha,seed,converged,sweeps,hit_cap,E,max_sweeps,run_id,notebook,python,numpy,platform
0.5,4,False,20000,True,2.8605592569942777,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,5,False,20000,True,1.7598299051454174,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,6,False,20000,True,3.000199205248318,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,7,False,20000,True,2.509675031888981,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,8,False,20000,True,2.5379174138348994,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,9,False,20000,True,2.860439893558195,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,10,False,20000,True,2.565568964512039,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,11,False,20000,True,2.8608588725089357,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,12,False,20000,True,2.6833671234418235,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,13,False,20000,True,2.6809489418968173,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,14,False,20000,True,2.860626827913214,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,15,False,20000,True,1.7606028140081034,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.5,16,False,20000,True,2.5772865325306764,20000,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
