seed,converged,sweeps,E,max_sweeps,hidden,eps,alpha,anti_h1,anti_h2,mirror,r1,r2,r3,w_h1,bias_h1,bias_out,w_out,run_id,notebook,python,numpy,platform
14,True,1505,0.2805096776414216,20000,2,0.1,0.9,0.0005118402895394252,0.0003653406251652303,0.03080820119805513,1.0,1.9840497074368117,3.9398808630450364,-8.38;-2.13;4.22;-4.22;2.12;8.38,-1.764463448986612,4.362320490468173,-10.32;-10.24,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
15,True,2304,0.28399383316442595,20000,2,0.1,0.9,0.0004840517444508976,0.00041507247805832497,0.029312171443916447,1.0,1.990819081213626,3.9473977063159715,-4.19;8.31;2.11;-2.11;-8.31;4.19,-1.7609171366529417,4.393836605981958,-10.41;-10.32,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
16,True,7313,0.24728805608451754,20000,2,0.1,0.9,0.0003123697881568125,0.00020018060021695193,0.027271223407860135,1.0,1.5535553552284784,2.0653144090458504,5.86;3.77;7.79;-7.79;-3.77;-5.86,-1.718570852151194,4.888770837055707,-11.33;-11.24,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
17,True,5316,0.28833594734943185,20000,2,0.1,0.9,0.00015525259204496637,0.00020578427529689632,0.0034106666688176086,1.0,1.9798074673517314,3.9221612270485955,8.41;-4.25;2.15;-2.15;4.25;-8.41,-1.791545331262884,4.374015111053879,-10.36;-10.37,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
18,True,6311,0.2855817149495067,20000,2,0.1,0.9,0.00045327700756773705,0.00047398398005611193,0.00330389925285057,1.0,1.9850708795027527,3.9403508378824044,4.22;-2.13;8.37;-8.38;2.12;-4.22,-1.7762630372140387,4.417933732082768,-10.43;-10.42,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
19,True,2375,0.24760204560804705,20000,2,0.1,0.9,0.0002642037497002719,0.0002382965056598376,0.007002797638599335,1.0,1.552390230445682,2.064511395671898,-7.85;5.91;-3.80;3.80;-5.91;7.85,-1.731894450928053,4.902098083187598,-11.33;-11.31,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
20,True,9651,0.28141991102307184,20000,2,0.1,0.9,0.000571646658779877,0.0005664335965761034,0.0020009587949221673,1.0,1.9844857514665932,3.9334335980009487,-2.14;-4.25;8.42;-8.42;4.24;2.14,-1.7779068469409538,4.419063180689193,-10.41;-10.40,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
21,True,1722,0.2481292560448646,20000,2,0.1,0.9,0.00027633372739378336,0.00022881744021821334,0.012580460373847843,1.0,1.553334139024989,2.0656010803962612,5.91;3.80;-7.86;7.85;-3.80;-5.91,-1.729638010304876,4.876803488223649,-11.28;-11.24,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
22,True,1763,0.28403938016968683,20000,2,0.1,0.9,0.0003792114249177142,0.0004573565559879085,0.013082043431939925,1.0,1.986708834792096,3.9398035901666164,-4.28;-2.15;-8.49;8.49;2.15;4.28,-1.7962171030272327,4.385776585492445,-10.34;-10.38,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
23,True,2568,0.2862744958443324,20000,2,0.1,0.9,0.00029455960873512834,0.00033013356709978963,0.00397902655809149,1.0,1.9813517146992043,3.92513899408163,-2.19;-8.58;-4.33;4.33;8.58;2.18,-1.8031995279493578,4.2726718526128105,-10.10;-10.10,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
