eps_late,decay,margin,seed,sweeps,E,train_strict,train_top,train_n,test_strict,test_top,test_n,run_id,notebook,python,numpy,platform
0.01,0.002,끔,5,6000,50.77452742359674,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,6,6000,51.22939321309894,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,7,6000,51.23891343030816,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,0,6000,14.70451171554111,54,93,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,1,6000,18.731824654284257,41,86,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,2,6000,18.248981413851713,21,87,100,0,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,3,6000,36.59496806501321,21,69,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,4,6000,24.769763786736533,21,89,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,5,6000,23.201306483743714,35,86,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,6,6000,10.597191646191726,65,98,100,2,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,7,6000,24.688065862041263,15,84,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,0,6000,6.153511005417813,74,94,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,1,6000,17.380897257629087,44,75,100,1,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,2,6000,23.232495677336047,29,72,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,3,6000,7.460901182935229,55,95,100,1,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,4,6000,2.6724232194746103,94,98,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,5,6000,12.946773759869565,56,86,100,1,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,6,6000,12.528637025961505,67,80,100,2,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,끔,7,6000,24.946256723036093,27,66,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,0,6000,78.01089780822592,0,4,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,1,6000,77.55420858004051,0,3,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,2,6000,79.09646327155968,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,3,6000,77.60902926485215,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,4,6000,77.97284213826751,0,5,100,0,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,5,6000,77.06039933043489,0,4,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,6,6000,77.80766915240103,0,4,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,켬,7,6000,77.06848393829503,0,3,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.002,끔,0,6000,51.25198007438389,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
