depth,seed,layer,n_layers,grad_abs_mean,run_id,notebook,python,numpy,platform
1,18,1,2,0.7458311089315068,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,19,0,2,0.013466036935454187,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,19,1,2,0.17912243838109185,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0,0,3,0.0034642881389098947,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0,1,3,0.043154604382195885,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0,2,3,1.8400942668588913,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,1,0,3,0.0026087343774067167,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,1,1,3,0.03506046168089266,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,1,2,3,0.9763044802341521,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,2,0,3,0.004552262342749053,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,2,1,3,0.031858201315484,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,2,2,3,0.7073890923197566,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,3,0,3,0.0006920663444536105,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,3,1,3,0.006061016390797843,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,3,2,3,0.2660209643784015,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,4,0,3,0.0031072596645883325,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,4,1,3,0.041734040643278236,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,4,2,3,1.0052889192189585,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,5,0,3,0.003571634874918639,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,5,1,3,0.03493943391199744,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,5,2,3,0.6835777493105973,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,6,0,3,0.004534077862145453,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,6,1,3,0.028780502639762607,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,6,2,3,0.8466931471559551,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,7,0,3,0.0012185360878068353,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,7,1,3,0.019679332295933993,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,7,2,3,0.5391619456061549,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,8,0,3,0.004439393076891288,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,8,1,3,0.03839383149296915,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,8,2,3,1.1535553098319502,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,9,0,3,0.004581210145873284,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,9,1,3,0.04998842233253245,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,9,2,3,1.2242930993850858,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,10,0,3,0.0012386296035490742,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,10,1,3,0.011683317678055942,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,10,2,3,0.23217770761038425,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,11,0,3,0.0020206265132764745,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,11,1,3,0.008282785876665557,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
