person,unit1,unit2,unit3,unit4,unit5,unit6,nationality,generation,run_id,notebook,python,numpy,platform
Christopher,1.1539012791546408,1.308209563137729,-0.3441140971187068,-1.6173565382444348,-1.5023492693995262,0.05434221827376481,영국,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Penelope,0.3314736655314325,1.548288415853427,-1.2427656568513767,-2.368950289199166,-0.5122992781913945,-1.546579832169712,영국,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Andrew,-0.3818467018466833,-0.21695022662978092,2.2038055258373705,-1.5102336354273376,-1.7304407841314395,2.2854748776052087,영국,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Christine,0.7581855440538755,2.0671853697137585,1.9920084526862345,-2.053888899320508,-2.1828161184322563,0.9598795572169136,영국,1,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Margaret,1.163028969239547,1.3517323135962533,0.7807538865141329,1.1965910700809754,1.1046526061031687,1.6257292057238473,영국,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Arthur,-0.025038010512477244,2.60889471031686,-0.8681320076164396,-1.8984125230918563,2.221472275556273,-0.37239416562901273,영국,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Victoria,1.1255574984645242,2.1568174294937625,0.34297070700708376,-1.1623336510834854,2.129314754714124,-1.4313669318914548,영국,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
James,0.22250189989422936,1.5572789606463264,1.9681264954025286,0.6683562239420086,0.22960269087040253,1.7895513076242229,영국,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Jennifer,-1.2798701403488997,-0.17709849972482414,2.3436761323383957,-0.6668269425644971,0.8563191272639021,2.0697891702181375,영국,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Charles,-1.6812477438566755,1.7169581568190881,0.5755696749219722,0.12568235975367945,-0.8848648182528692,-0.7763636274566119,영국,2,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Colin,0.41192858770621144,2.1272310570618496,1.779042188253786,2.12859467478477,2.602088239965533,-1.393071096763481,영국,3,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
Charlotte,0.3870773236345569,2.2945615861978865,1.703098575451037,2.235278269155967,2.5549733079003842,-1.1311079196725402,영국,3,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
